,CircadianState,Time
L_T0_A,Light,0
L_T0_B,Light,0
L_T0_C,Light,0
L_T2_A,Light,2
L_T2_B,Light,2
L_T2_C,Light,2
L_T4_A,Light,4
L_T4_B,Light,4
L_T4_C,Light,4
L_T8_A,Light,8
L_T8_B,Light,8
L_T8_C,Light,8
L_T12_A,Light,12
L_T12_B,Light,12
L_T12_C,Light,12
L_T16_A,Light,16
L_T16_B,Light,16
L_T16_C,Light,16
D_T0_A,Dark,0
D_T0_B,Dark,0
D_T0_C,Dark,0
D_T2_A,Dark,2
D_T2_B,Dark,2
D_T2_C,Dark,2
D_T4_A,Dark,4
D_T4_B,Dark,4
D_T4_C,Dark,4
D_T8_A,Dark,8
D_T8_B,Dark,8
D_T8_C,Dark,8