Sample,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
1)PDO,537254,641368,541050,596836.0,644170.0,664140.0,640123,593163.0,574069.0,524565.0,599400,584077.0,465106,576485,544541.0,611007.0,624104.0,552296.0,554640.0,558583.0,568974.0,630522,466756.0,556032.0,468477.0,548735,534400.0,532987.0,636685,663619,698186.0,616955,631930,620779.0,727317,605511,714144.0,700724,721740.0,561106,603878,630515,716946.0,646895,644933,601864,666479.0,608580.0,619573.0,663732,605216,608542,597838.0,634500
2)BDO,68406,76317,78862,79631.0,88282.0,100154.0,67106,57297.0,85422.0,54840.0,72747,81021.0,42055,87170,73620.0,103049.0,79900.0,72382.0,89396.0,60802.0,80554.0,45774,44703.0,72144.0,50284.0,69822,69888.0,78419.0,107266,123578,98278.0,108308,124052,89202.0,115877,128346,122993.0,119858,111619.0,87273,108334,119414,116796.0,119689,130010,103274,113340.0,110479.0,88208.0,111686,126193,98603,37934.0,108055
3)2-HPY,348831,595523,534314,521849.0,559894.0,579289.0,455390,478478.0,497038.0,418545.0,472484,477408.0,446620,492756,423204.0,360808.0,413950.0,414526.0,406750.0,390514.0,438403.0,432607,364609.0,389718.0,422442.0,368169,451424.0,546766.0,741237,695306,678719.0,656767,780153,625350.0,670753,650721,596706.0,478241,653776.0,655582,631482,583346,569026.0,700552,644055,547957,653735.0,629845.0,613826.0,721641,655682,553544,614104.0,712653
4)HCAFFA,32860,25425,17270,46762.0,22143.0,19529.0,38098,16453.0,16676.0,29215.0,16199,12831.0,32893,14000,8005.0,15628.0,10359.0,8061.0,15860.0,9872.0,9872.0,18663,8883.0,5645.0,14162.0,8523,6061.0,11068.0,6061,6036,11753.0,5366,7086,9478.0,6410,5014,8125.0,4545,3393.0,3880,5822,4290,6737.0,5679,3534,3881,4632.0,2603.0,5232.0,6254,3870,5756,2626.0,3646
5)m-HBA,93751,47656,29530,117845.0,44967.0,35103.0,89527,39920.0,35348.0,70655.0,39175,31527.0,62567,34845,32140.0,46707.0,33098.0,19949.0,46726.0,27148.0,20948.0,44850,25182.0,18209.0,38393.0,25877,19578.0,29430.0,14899,12112,20766.0,15805,14955,20852.0,16666,12464,16434.0,17569,13686.0,14896,14376,12237,16030.0,14742,9837,16039,14814.0,13126.0,20749.0,13353,10548,15165,12645.0,11266
6)p-HBA,22277,23522,18415,24197.0,15932.0,11343.0,20248,12859.0,11990.0,15490.0,15307,19414.0,14607,11909,8322.0,9479.0,4287.0,3329.0,10618.0,8891.0,8612.0,11943,7093.0,4793.0,10403.0,4759,4315.0,11941.0,1734,966,6113.0,2497,6604,8876.0,3678,4124,7752.0,9428,1627.0,3817,6815,2083,7854.0,4664,6622,7596,2983.0,3703.0,11640.0,7383,6890,3103,4619.0,7422
7)ART,7423,20292,11885,14714.0,18417.0,19764.0,10650,5879.0,5315.0,6517.0,4368,3840.0,5113,4654,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0,0.0,0.0,0.0,0,102.0,7581.0,5448,10320,15274.0,9674,15370,15479.0,15977,12211,12046.0,4441,6304.0,5864,9625,12761,5271.0,14655,8920,4274,7227.0,5781.0,5925.0,16102,6587,7160,1936.0,14540
8)BZA,127518,127597,130866,169266.0,121830.0,171261.0,160297,134571.0,167060.0,220212.0,182953,150561.0,159526,167285,133461.0,105672.0,112642.0,97061.0,101000.0,107968.0,116983.0,87996,73363.0,96327.0,97411.0,104693,123160.0,129720.0,137000,170529,176460.0,144445,194292,307105.0,267460,276380,180066.0,174935,231646.0,139723,198123,240175,119777.0,221331,178852,113502,146753.0,134248.0,126256.0,190931,174184,144467,141501.0,177790
9)CAFFA,678542,105687,22527,697052.0,95213.0,35014.0,402653,60676.0,30043.0,240766.0,57641,19780.0,236570,45176,14732.0,93484.0,29355.0,11194.0,91532.0,25555.0,14451.0,86247,23262.0,10867.0,61996.0,19124,10352.0,15235.0,5130,3006,14259.0,6850,4814,17760.0,8116,4003,11030.0,4011,2565.0,8532,6252,3584,7410.0,7941,3748,6402,4046.0,2912.0,4920.0,4584,3053,6612,4964.0,2222
11)CGA,88183,11036,5499,91157.0,9978.0,4467.0,52669,8046.0,2698.0,28893.0,7525,7200.0,32718,6407,1596.0,14260.0,1944.0,1640.0,12007.0,3160.0,1684.0,9327,1867.0,563.0,4709.0,574,595.0,1789.0,3045,1781,4667.0,4812,1359,4297.0,4665,3116,4327.0,2427,1296.0,2301,5341,6791,2344.0,1942,3771,3119,2391.0,2853.0,2328.0,5859,8086,1164,1693.0,2133
13)CIT,555235,638913,237870,793139.0,530296.0,435443.0,381550,128138.0,108282.0,192516.0,129441,87922.0,329810,144398,82737.0,57131.0,68972.0,25007.0,99687.0,75084.0,165297.0,117400,48614.0,65008.0,48025.0,69711,202515.0,188684.0,150057,283141,195564.0,82534,267979,132691.0,99856,93178,51887.0,19521,27517.0,19942,22787,37962,8782.0,47143,25168,11959,19395.0,16017.0,6572.0,26499,18451,19574,11568.0,35541
14)FRU,12339,9893,3496,76528.0,75146.0,66170.0,225126,194726.0,226139.0,345971.0,263341,292438.0,467021,372313,788850.0,428866.0,431933.0,361990.0,400041.0,482810.0,651973.0,384618,425942.0,418690.0,263383.0,213910,461991.0,5005.0,4386,3462,56892.0,63643,88132,101400.0,114905,73219,124381.0,93724,80393.0,96144,105538,107053,125118.0,164866,141411,117020,141872.0,103945.0,133817.0,139419,173091,182034,101765.0,169963
15)GLC,16158,9927,7918,13370.0,29333.0,34975.0,34635,34437.0,51823.0,48739.0,53794,39466.0,37019,53090,43714.0,29169.0,20990.0,17352.0,20953.0,20622.0,40395.0,16699,23953.0,44991.0,20291.0,20710,38552.0,1227.0,663,324,21707.0,18897,27108,46965.0,52373,37690,56498.0,49068,42584.0,52806,76197,76726,75035.0,110756,87068,33852,83130.0,74428.0,90626.0,92751,71536,126392,87893.0,101760
16)RIB,26799,27696,16745,79338.0,64987.0,88716.0,132843,107403.0,47681.0,88179.0,168554,93339.0,167078,188204,134764.0,118658.0,122080.0,103665.0,132765.0,153086.0,197416.0,122043,118604.0,132930.0,98269.0,141925,193407.0,16459.0,15397,12095,70709.0,64915,105733,86152.0,70809,140853,75989.0,138700,164408.0,130497,111211,226362,74428.0,401538,189008,213533,256620.0,182482.0,216196.0,304384,263933,267988,241534.0,409982
17)THR-OL,21497,13399,15611,147143.0,146957.0,152850.0,374368,233477.0,301324.0,349915.0,304373,310956.0,378760,293205,250331.0,194669.0,233205.0,181126.0,254936.0,208785.0,280569.0,124746,122887.0,170292.0,102522.0,165329,255421.0,25952.0,32591,36136,169166.0,127848,234483,413661.0,446265,462176,388094.0,351934,453873.0,277563,392593,447370,306186.0,593857,385051,280835,348348.0,323590.0,285277.0,503070,417251,346167,323474.0,569094
18)XYL-OL,18745,15764,11780,19687.0,33276.0,16099.0,23613,15953.0,15386.0,27145.0,32022,25274.0,56203,53316,29882.0,26279.0,51752.0,41494.0,46265.0,54265.0,64401.0,22700,37870.0,49112.0,38730.0,54501,51091.0,7115.0,10417,5431,19314.0,12055,8611,11704.0,5726,8957,19418.0,13836,15080.0,24692,25717,21974,63231.0,52349,38021,53358,67945.0,66630.0,64850.0,60267,81912,76290,55814.0,79998
19)ERY-OL,12684,9964,8202,13409.0,14463.0,15950.0,33673,35166.0,38281.0,63091.0,70375,57647.0,122608,127080,89094.0,88040.0,123809.0,68365.0,90802.0,110742.0,199893.0,79011,77075.0,136846.0,64055.0,136476,231937.0,7028.0,6503,9377,15483.0,8975,10160,33185.0,18802,17376,33619.0,21231,26142.0,31435,29945,35737,33760.0,56497,31734,39376,36632.0,31657.0,46277.0,54755,47121,51078,38710.0,76188
20)EtN,18096,14871,20853,35082.0,20332.0,89881.0,14367,11203.0,68737.0,12843.0,22184,10589.0,13641,11667,10894.0,7500.0,4717.0,5203.5,4430.0,8885.0,12323.0,2500,3101.0,4356.0,3574.0,4877,6302.0,19756.0,9147,84923,76199.0,34499,132169,104326.0,105390,128679,49213.0,17538,24436.0,53659,64115,103989,37997.0,82177,86434,37769,55834.0,78127.0,8289.0,63842,114816,19528,7805.0,142825
21)FUM,46689,29741,21838,59638.0,26743.0,19965.0,51450,15553.0,14429.0,31493.0,16033,11188.0,28028,18190,9185.0,17861.0,9243.0,4851.0,20138.0,11517.0,10899.0,16191,5478.0,4388.0,12944.0,9237,6692.0,7532.0,5509,5554,8808.0,5208,5856,10038.0,6370,4108,8024.0,4092,4039.0,3146,5352,6387,3787.0,6150,4321,5157,8324.0,4376.0,4734.0,6947,4776,6086,2127.0,7024
23)MAG,148266,159210,86111,169103.5,190678.5,110761.0,189941,222147.0,162527.0,297399.0,192912,254462.0,92484,166133,174208.0,205439.0,102311.0,104431.0,154044.0,70880.0,113840.0,111153,56748.0,67614.0,72729.0,108037,104840.0,129912.0,119029,80740,97057.0,116937,133972,174078.0,104550,172960,215447.0,156430,143556.0,148844,79206,97095,153663.0,134986,79930,128853,182939.0,110341.0,210295.0,192100,150562,139274,151353.0,232958
24)GLY,0,8377,7903,14329.0,6074.0,9946.0,12861,4665.0,9717.0,4938.0,10143,4393.0,4902,8395,0.0,0.0,0.0,0.0,4689.0,7172.0,22387.0,659,3097.0,0.0,0.0,0,0.0,1189.0,1183,10282,11094.0,6064,12570,18719.0,16853,13614,13385.0,7463,9174.0,10323,12376,16340,8826.5,20113,14515,7330,12827.0,10540.0,0.0,21703,19132,18985,0.0,29649
25)GlyA,228246,241123,230496,247553.0,245804.0,252397.0,271229,249524.0,240467.0,249771.0,253154,252722.0,216641,246865,237878.0,240925.0,252993.0,234957.0,248010.0,249522.0,233190.0,239824,198271.0,225446.0,217609.0,232489,209802.0,215932.0,258109,262006,264325.0,257400,269449,250671.0,270921,233051,255946.0,284357,280414.0,247376,258341,252974,268733.0,262817,261128,268660,280086.0,249495.0,248783.0,274673,264022,263679,237237.0,271657
26)HQN,155700,65076,45530,175462.0,63498.0,44682.0,138213,53341.0,33334.0,107481.0,42715,31690.0,89216,39983,30735.0,69021.0,34837.0,28904.0,58409.0,33658.0,27609.0,54587,30486.0,24853.0,46337.0,26433,15744.0,14620.0,11111,11115,19658.0,12049,10155,16684.0,15290,10521,16062.0,13695,8679.0,17220,11773,8944,11273.0,10529,7025,11528,10806.0,8257.0,15586.0,10855,5960,10226,8302.0,6991
28)LACA,321406,338204,332992,1025988.0,883290.0,483966.0,1208266,394971.0,402501.0,863268.0,630101,476236.0,1238194,751956,519999.0,504126.0,443249.0,369447.0,421208.0,564984.0,686855.0,338290,454017.0,378494.0,347326.0,409375,792867.0,291906.0,353282,324273,813173.0,432690,466999,1139376.0,525243,476812,944304.0,635818,489828.0,413266,521254,554593,631735.0,430746,606653,306215,748023.0,437411.0,599240.0,509219,473392,804948,749886.0,528450
29)MAL,21552,20799,10332,75857.0,40289.0,35344.0,64262,48676.0,45194.0,48981.0,39604,36979.0,49589,35433,29472.0,18794.0,26085.0,13459.0,19279.0,18152.0,17736.0,15716,9773.0,8431.0,11041.0,11683,13008.0,3947.0,5668,4166,18368.0,15947,26977,34760.0,34993,36084,29793.0,26757,26943.0,24339,22480,37217,24954.0,50557,27336,26054,23716.0,19372.0,22037.0,32882,29402,23755,21512.0,31231
31)MALT,0,179,776,5808.0,45250.0,9896.0,163778,114658.0,186681.0,165365.0,147646,243099.0,81178,83555,163590.0,24734.0,40192.0,39495.0,19621.0,22442.0,37899.0,14508,16493.0,36493.0,12774.0,30303,16583.0,402.0,1345,204,30789.0,56720,33238,128949.0,206574,200514,198169.0,227041,274229.0,177018,270321,326528,256198.0,579847,308892,294645,365302.0,265494.0,366701.0,623370,502111,423303,405791.0,641429
32)INO,207798,197898,108327,184011.0,161125.0,182928.0,169809,131068.0,150699.0,183762.0,190066,143365.0,97654,114812,92225.0,66162.0,84666.0,53678.0,58641.0,67115.0,110448.0,46539,39903.0,57097.0,42752.0,51788,87381.0,176166.0,110104,141207,157649.0,92630,197664,206132.0,176357,166146,97345.0,106748,92793.0,58429,78769,93043,54505.0,95132,58571,38728,58664.0,48772.0,37242.0,82386,57899,41314,49418.0,75652
33)FA9:0,102376,145931,191758,170091.0,210038.0,529695.0,322628,256346.0,256689.0,230445.0,287403,395914.0,112246,261066,75737.0,31162.0,66018.0,26234.0,72900.0,165782.0,59826.0,33948,52752.0,30304.0,25272.0,63010,94015.0,86234.0,264971,106362,222395.0,307485,124797,355560.0,238926,472970,250593.0,384457,242732.0,154828,205072,429773,103502.0,218074,94669,97200,421570.0,170460.0,70641.0,255998,197583,72176,107842.0,126293
34)OXAL,53306,71282,35330,126833.0,78630.0,63566.0,120166,48332.0,45782.0,93152.0,40033,29365.0,70505,45704,21066.0,37350.0,30356.0,18598.0,39073.0,22949.0,26993.0,27816,9532.0,12318.0,20231.0,16868,17838.0,34777.0,20439,18960,40848.0,16002,29517,44934.0,27312,17415,28120.0,10503,14601.0,12082,14390,19323,17830.0,27602,14490,15005,13168.0,10991.0,16670.0,23866,18716,23700,15578.0,22678
35)FA16:0,133419,99221,117549,159352.0,120220.0,172816.0,130545,100495.0,118229.0,126652.0,119110,116997.0,89561,107193,70881.0,63538.0,47920.0,39944.0,67233.0,65347.0,91686.0,89085,42981.0,72451.0,66511.0,77997,179433.0,96315.0,84667,114588,95567.0,83635,111021,139172.0,151012,145446,125665.0,70638,124312.0,92723,101262,136771,77060.0,134576,98602,128725,61174.0,56013.0,99935.0,180548,112208,95260,104139.0,167158
36)PS,183616,185109,165614,218090.0,216760.0,236016.0,194121,202643.0,245957.0,200900.0,217871,219338.0,169666,184401,169524.0,143157.0,200629.0,139436.0,130454.0,137398.0,155167.0,135883,112526.0,124660.0,98672.0,133274,137079.0,169818.0,204802,219948,210172.0,185279,252897,260708.0,256883,247429,229228.0,229203,260556.0,204252,233288,221667,223683.0,313313,256442,202278,224457.0,199912.0,224877.0,248508,230286,222749,203771.0,251115
37)H3PO4,4367423,3390725,2489904,6936053.0,2157990.0,2506273.0,3857977,466204.0,747907.0,1144999.0,636036,474232.0,671928,461367,26470.0,52399.0,49094.0,13631.0,223834.0,195714.0,598601.0,84955,38782.0,11303.0,962.0,108750,239136.0,4894247.0,1908293,2000375,2870065.0,1664343,1825885,2770155.0,1811462,1337159,1493913.0,1061130,1299925.0,881965,1605189,1396988,786971.0,1649458,1292554,922302,949133.0,1075161.0,1187428.0,1412582,1587384,1394238,803145.0,1813177
38)PYR,16154,13938,12043,20605.0,14889.0,18270.0,18583,14083.0,14323.0,101839.0,113519,101467.0,101143,147835,111325.0,43388.0,55270.0,49994.0,83989.0,104198.0,83519.0,16392,17007.0,19215.0,12986.0,17647,20617.0,12637.0,18173,17780,17162.0,15251,19129,23489.0,24171,22442,116915.0,114884,113985.0,110297,137518,119564,54816.0,56907,50377,122497,118073.0,101177.0,22394.0,30015,30046,24409,20733.0,35050
39)QIC,138473,65855,21559,219727.0,64246.0,32262.0,130654,46576.0,26704.0,102537.0,43459,26164.0,113256,36826,19567.0,55194.0,26824.0,12630.0,45845.0,20990.0,16807.0,52431,22092.0,12151.0,41374.0,23176,17692.0,14565.0,9512,9620,12357.0,8299,9074,16755.0,13720,12827,14478.0,11240,10202.0,13883,9853,11467,10728.0,15027,7545,12570,10722.0,6925.0,15688.0,15001,9957,10731,9521.0,13670
40)FA18:1,117398,116189,57992,131717.0,70605.0,91417.0,117883,63109.0,54664.0,108412.0,83957,69085.0,89787,77099,49792.0,54468.0,40733.0,26303.0,51556.0,50137.0,84500.0,85319,38302.0,44437.0,48603.0,52412,122275.0,60975.0,58477,58376,73390.0,55289,90045,115659.0,127934,72732,60945.0,65866,72092.0,53572,62386,92213,46250.0,96564,48076,99779,62153.0,48652.0,46297.0,141805,109120,64214,58127.0,114701
41)SUC,10002,5085,4470,12767.0,7326.0,5129.0,8828,3330.0,3706.0,9140.0,3247,2427.0,9230,3870,6550.0,7101.0,4613.5,4703.0,4972.0,5357.0,2856.0,4648,2088.0,2413.0,2905.0,3189,1970.0,1162.0,1567,1972,5232.0,1997,2066,5719.0,3249,1205,3410.0,2019,1612.0,2371,3218,2869,1344.0,2895,4125,1430,3003.0,2058.0,2686.0,3717,2105,4346,2303.5,2502
42)SUCR,4322254,3885728,1923730,122173947.0,120346733.0,126577136.0,167687351,163796043.0,193541778.0,155744883.0,153333682,181407689.0,28328150,29136422,72171013.0,6990792.0,11235110.0,7726453.0,6519130.0,8524530.0,18338463.0,4225900,6171386.0,11546878.0,2437397.0,9503195,7409108.0,2371906.0,2803151,5289566,108953597.0,79641028,114926451,202621460.0,196384448,180772384,216402623.0,186768919,200938562.0,202490722,217806224,219136280,209296716.0,248798568,207329930,207734404,220460447.0,186965633.0,226721805.0,246981451,222409804,231482702,210726201.0,254294421
43)THY,102455,63103,48497,114993.0,24263.0,120751.0,89493,18699.0,63817.0,85377.0,52552,94346.0,74084,24174,48156.0,26518.0,42255.0,43301.0,65212.0,58547.0,42043.0,68096,38039.0,33908.0,19074.0,11630,10716.0,50176.0,102211,88992,40489.0,76979,94959,65350.0,127660,136352,67137.0,36118,147178.0,35250,61173,78299,63431.0,84313,72220,57156,131386.0,107303.0,59968.5,106957,60362,62781,60129.0,40103
44)unk-01,190611,208504,235057,306107.0,247740.0,235562.0,214281,201959.0,258894.0,415729.0,480904,490183.0,387768,451440,377514.0,42650.0,32485.0,12831.0,31147.0,7044.0,4262.5,22425,4684.0,11694.0,21344.0,26658,6880.166667,177607.0,189532,240171,201783.0,156388,269777,379584.0,430316,364096,513609.0,383317,477758.0,327356,424975,441738,52443.0,142995,124363,346253,488665.0,343579.0,151794.0,395010,275160,150504,213326.0,309940
45)unk-02,757753,669374,511060,721482.0,988332.0,814723.0,1101036,744002.0,762698.0,1128877.0,742717,1071348.0,641648,764283,839208.0,1134950.0,832075.0,912084.0,804065.0,818726.0,570876.0,726097,445177.0,595590.0,769185.0,647660,569933.0,508197.0,824354,630868,790423.0,588775,958181,604982.0,653937,593123,690304.0,788143,677938.0,574901,605781,616055,620908.0,715540,613275,639337,991544.0,600969.0,697486.0,771068,736642,760849,723600.0,627420
46)unk-03,1253207,1904587,1386435,1807425.0,2106194.0,2383969.0,1626163,1629289.0,2143680.0,1620890.0,1702475,1851832.0,1430741,1828715,1314270.0,1233522.0,1485491.0,1068721.0,1266014.0,1214393.0,1352669.0,1082340,1013217.0,757903.0,892281.0,973900,1013871.0,1188464.0,1533042,1949912,1600897.0,1631831,2211037,1899643.0,2055475,2280591,2071266.0,1904163,2262149.0,1343787,1873301,2203786,1668977.0,2303290,2049406,1570188,2055245.0,1700105.0,1265755.0,1987863,2026549,1599487,1807316.0,2139170
